Name,Kingdom,Species,%identity,%cover,Length,Matches Percentage
AQP 4786,Bacteria,Aliivibrio wodanis,99.25%,100.00%,665,"Aliivibrio wodanis 99.25%
Aliivibrio sifiae 98.63%
Aliivibrio salmonicida 97.43%
Aliivibrio logei 97.44%
Aliivibrio finisterrensis 96.55%
Photobacterium frigidiphilum 96.08%
Aliivibrio fischeri 97.28%
Photobacterium lipolyticum 95.03%
Photobacterium indicum 95.69%
Vibrio gallicus 96.15%"
AQP 4270,Bacteria,Alkalihalobacillus hwajinpoensis,98.67%,100.00%,452,"Alkalihalobacillus hwajinpoensis 98.67%
Alkalihalobacillus algicola 96.24%
Alkalihalobacillus hemicentroti 96.03%
Bacillus caeni 92.98%
Bacillus kiskunsagensis 92.92%"
AQP 9461,Bacteria,Alkalihalobacillus hwajinpoensis,97.52%,100.00%,242,"Alkalihalobacillus hwajinpoensis 97.52%
Alkalihalobacillus hemicentroti 96.69%
Alkalihalobacillus algicola 93.80%
Bacillus kiskunsagensis 89.26%
Metabacillus litoralis 88.11%"
AQP 9537,Bacteria,Alkalihalobacillus hwajinpoensis,98.07%,100.00%,828,"Alkalihalobacillus hwajinpoensis 98.07%
Alkalihalobacillus algicola 96.51%
Alkalihalobacillus hemicentroti 96.39%
Bacillus caeni 94.15%
Bacillus kiskunsagensis 93.64%
Bacillus taeanensis 95.05%"
AQP 9541,Bacteria,Alkalihalobacillus hwajinpoensis,98.93%,100.00%,653,"Alkalihalobacillus hwajinpoensis 98.93%
Alkalihalobacillus algicola 96.94%
Alkalihalobacillus hemicentroti 96.94%
Bacillus caeni 94.38%
Bacillus kiskunsagensis 94.34%
Alkalihalobacillus alkalinitrilicus 96.09%
Bacillus taeanensis 95.92%"
AQP 9543,Bacteria,Alkalihalobacillus hwajinpoensis,97.97%,100.00%,540,"Alkalihalobacillus hwajinpoensis 97.97%
Alkalihalobacillus algicola 96.12%
Alkalihalobacillus hemicentroti 95.56%
Bacillus caeni 93.39%
Bacillus kiskunsagensis 93.35%"
AQP 9426,Bacteria,"Aquimarina atlantica 97.79%
Aquimarina pacifica 96.93%
Aquimarina aggregata 96.45%
Aquimarina megaterium XH134 96.45%",97.79%,100.00%,813,"Aquimarina atlantica 97.79%
Aquimarina pacifica 96.93%
Aquimarina aggregata 96.45%
Aquimarina megaterium XH134 96.45%
Aquimarina macrocephali JAMB N27 95.47%
Aquimarina longa SW024 95.45%
Aquimarina algiphila 95.11%"
AQP 9521,Bacteria,"Aquimarina atlantica 97.57%
Aquimarina pacifica 96.75%
Aquimarina aggregata 96.23%",97.57%,100.00%,739,"Aquimarina atlantica 97.57%
Aquimarina pacifica 96.75%
Aquimarina aggregata 96.23%
Aquimarina megaterium XH134 96.10%
Aquimarina longa SW024 95.78%
Aquimarina macrocephali JAMB N27 95.51%
Aquimarina mytili 95.13%"
AQP 9542,Bacteria,Aquimarina intermedia,99.49%,100.00%,583,"Aquimarina intermedia 99.49%
Aquimarina penaei 94.35%
Aquimarina latercula 94.37%
Aquimarina aggregata 94.18%
Aquimarina spongiicola 93.87%"
AQP 9391,Bacteria,Aquimarina muelleri,97.65%,100.00%,721,"Aquimarina muelleri 97.65%
Aquimarina aggregata 95.86%
Aquimarina pacifica 95.87%
Aquimarina longa SW024 96.06%
Aquimarina macrocephali JAMB N27 95.30%
Aquimarina litoralis 96.54%
Aquimarina algiphila 95.18%
Aquimarina atlantica 95.03%
Aquimarina latercula 96.24%"
AQP 4205,Bacteria,"Arenibacter algicola 99.27%
Arenibacter troitsensis 99.02%
Arenibacter echinorum 99.02%",99.27%,100.00%,817,"Arenibacter algicola 99.27%
Arenibacter troitsensis 99.02%
Arenibacter echinorum 99.02%
Arenibacter palladensis 98.90%
Arenibacter hampyeongensis 97.43%
Arenibacter catalasegens 97.31%"
AQP 4203,Bacteria,"Arenibacter echinorum 99.63%
Arenibacter algicola 99.26%",99.63%,100.00%,808,"Arenibacter echinorum 99.63%
Arenibacter algicola 99.26%
Arenibacter palladensis 98.89%
Arenibacter troitsensis 98.89%
Arenibacter catalasegens 97.28%
Arenibacter hampyeongensis 97.03%"
AQP 1498,Bacteria,"Arenibacter palladensis 97.57%
Arenibacter troitsensis 97.33%",97.57%,100.00%,412,"Arenibacter palladensis 97.57%
Arenibacter troitsensis 97.33%
Arenibacter catalasegens 97.09%
Arenibacter echinorum 97.09%
Arenibacter algicola 97.09%
Arenibacter hampyeongensis 95.84%"
AQP 9564,Bacteria,Arenicella chitinivorans,99.04%,99.64%,839,"Arenicella chitinivorans 99.04%
Arenicella xantha 96.29%
Thiolapillus brandeum 89.44%
Thioprofundum lithotrophicum 89.12%
Thioprofundum hispidum 89.12%"
AQP 4269,Bacteria,"Bacillus aerius 100.00%
Bacillus altitudinis 100.00%
Bacillus aerophilus 100.00%
Bacillus stratosphericus 100.00%",100.00%,100.00%,797,"Bacillus aerius 100.00%
Bacillus altitudinis 41KF2b 100.00%
Bacillus aerophilus 100.00%
Bacillus stratosphericus 100.00%
Bacillus xiamenensis 99.87%
Bacillus pumilus 99.50%
Bacillus zhangzhouensis 99.50%
Bacillus safensis 99.50%
Bacillus australimaris 99.37%
Bacillus safensis FO-36b 99.36%
Bacillus idriensis 97.11%
Bacillus subtilis subsp. subtilis 96.62%
Bacillus amyloliquefaciens 96.62%
Bacillus atrophaeus 96.50%
Bacillus nakamurai 96.38%
Bacillus velezensis 96.37%
Bacillus subtilis 96.38%
Bacillus vallismortis 96.37%
Bacillus siamensis KCTC 13613 96.37%
Bacillus inaquosorum 96.25%"
AQP 9609,Bacteria,"Bacillus aerius 99.77%
Bacillus altitudinis 99.77%
Bacillus stratosphericus 99.77%
Bacillus aerophilus 99.77%",99.77%,99.77%,860,"Bacillus aerius 99.77%
Bacillus altitudinis 41KF2b 99.77%
Bacillus stratosphericus 99.77%
Bacillus aerophilus 99.77%
Bacillus xiamenensis 99.65%
Bacillus pumilus 99.30%
Bacillus zhangzhouensis 99.30%
Bacillus safensis 99.30%
Bacillus australimaris 99.18%
Bacillus safensis FO-36b 99.18%
Bacillus idriensis 96.85%
Bacillus subtilis subsp. subtilis 96.63%
Bacillus amyloliquefaciens 96.63%
Bacillus atrophaeus 96.51%
Bacillus velezensis 96.41%
Bacillus nakamurai 96.40%
Bacillus subtilis 96.40%
Bacillus vallismortis 96.40%
Bacillus inaquosorum 96.28%
Bacillus siamensis KCTC 13613 96.28%"
AQP 9403,Bacteria,"Bacillus aerius 99.87%
Bacillus altitudinis 99.87%
Bacillus stratosphericus 99.87%
Bacillus aerophilus 99.87%",99.87%,100.00%,757,"Bacillus aerius 99.87%
Bacillus altitudinis 41KF2b 99.87%
Bacillus stratosphericus 99.87%
Bacillus aerophilus 99.87%
Bacillus xiamenensis 99.74%
Bacillus pumilus 99.34%
Bacillus zhangzhouensis 99.34%
Bacillus safensis 99.34%
Bacillus australimaris 99.21%
Bacillus safensis FO-36b 99.21%
Bacillus idriensis 96.83%
Bacillus subtilis subsp. subtilis 96.32%
Bacillus amyloliquefaciens 96.32%
Bacillus atrophaeus 96.18%
Bacillus velezensis 96.19%
Bacillus nakamurai 96.06%
Bacillus subtilis 96.06%
Bacillus vallismortis 96.05%
Bacillus siamensis KCTC 13613 96.05%
Bacillus inaquosorum 95.93%"
AQP 9394,Bacteria,"Bacillus aquimaris 96.71%
Bacillus vietnamensis 96.46%",96.71%,100.00%,396,"Bacillus aquimaris 96.71%
Bacillus vietnamensis 96.46%
Bacillus haikouensis 94.68%
Bacillus pakistanensis 94.44%
Bacillus marisflavi 94.43%"
AQP 9460,Bacteria,"Bacillus aquimaris 98.55%
Bacillus vietnamensis 98.31%",98.55%,100.00%,826,"Bacillus aquimaris 98.55%
Bacillus vietnamensis 98.31%
Bacillus haikouensis 97.34%
Bacillus marisflavi 97.10%
Bacillus pakistanensis 96.03%
Bacillus acidicola 95.54%
Bacillus seohaeanensis 95.97%
Bacillus shackletonii 95.41%
Bacillus carboniphilus 95.43%
Bacillus ciccensis 95.42%
Bacillus licheniformis 95.28%
Bacillus coahuilensis m4-4 96.82%
Mesobacillus persicus 95.30%
Cytobacillus praedii 95.30%
Bacillus sporothermodurans 95.19%
Cytobacillus purgationiresistens 95.60%
Bacillus camelliae 96.57%
Bacillus haynesii 95.04%
Bacillus thaonhiensis 95.06%
Bacillus fermenti 95.06%"
AQP 9395,Bacteria,"Bacillus aquimaris 98.73%
Bacillus vietnamensis 98.48%",98.73%,100.00%,786,"Bacillus aquimaris 98.73%
Bacillus vietnamensis 98.48%
Bacillus haikouensis 97.46%
Bacillus marisflavi 97.20%
Bacillus pakistanensis 96.08%
Bacillus acidicola 95.56%
Bacillus carboniphilus 95.57%
Bacillus seohaeanensis 95.90%
Bacillus ciccensis 95.56%
Bacillus shackletonii 95.42%
Bacillus licheniformis 95.42%
Cytobacillus purgationiresistens 95.77%
Mesobacillus persicus 95.44%
Cytobacillus praedii 95.54%
Bacillus coahuilensis m4-4 96.93%
Bacillus camelliae 96.92%
Bacillus sporothermodurans 95.19%
Bacillus haynesii 95.17%
Cytobacillus solani 95.96%
Bacillus fermenti 95.18%"
AQP 9404,Bacteria,"Bacillus aquimaris 98.73%
Bacillus vietnamensis 98.48%",98.73%,100.00%,788,"Bacillus aquimaris 98.73%
Bacillus vietnamensis 98.48%
Bacillus haikouensis 97.59%
Bacillus marisflavi 97.34%
Bacillus pakistanensis 96.22%
Bacillus acidicola 95.70%
Bacillus carboniphilus 95.71%
Bacillus ciccensis 95.70%
Bacillus seohaeanensis 96.03%
Bacillus shackletonii 95.56%
Bacillus licheniformis 95.56%
Mesobacillus persicus 95.58%
Cytobacillus praedii 95.58%
Cytobacillus purgationiresistens 95.90%
Bacillus sporothermodurans 95.33%
Bacillus coahuilensis m4-4 96.93%
Bacillus camelliae 96.80%
Bacillus haynesii 95.30%
Bacillus fermenti 95.32%
Bacillus sonorensis 95.18%"
AQP 9625,Bacteria,"Bacillus endophyticus 100.00%
Bacillus filamentosus 99.74%",100.00%,100.00%,801,"Bacillus endophyticus 100.00%
Bacillus filamentosus 99.74%
Bacillus shackletonii 94.64%
Bacillus onubensis 94.40%
Cytobacillus depressus 94.15%"
AQP 9626,Bacteria,"Bacillus endophyticus 98.87%
Bacillus filamentosus 98.46%",98.87%,100.00%,264,"Bacillus endophyticus 98.87%
Bacillus filamentosus 98.46%
Gracilibacillus marinus 91.18%
Lysinibacillus chungkukjangi 89.23%
Bacillus korlensis 88.97%"
AQP 9406,Bacteria,Bacillus haikouensis,99.15%,100.00%,819,"Bacillus haikouensis 99.15%
Bacillus aquimaris 98.29%
Bacillus vietnamensis 98.17%
Bacillus marisflavi 98.05%
Bacillus pakistanensis 95.87%
Bacillus seohaeanensis 95.85%
Bacillus coahuilensis m4-4 96.95%
Bacillus licheniformis 95.62%
Bacillus acidicola 95.50%
Bacillus shackletonii 96.69%
Bacillus sporothermodurans 95.49%
Bacillus camelliae 96.69%
Cytobacillus praedii 95.49%
Bacillus ciccensis 95.49%
Bacillus haynesii 95.37%
Bacillus carboniphilus 95.38%
Cytobacillus solani 95.79%
Bacillus sonorensis 95.25%
Cytobacillus purgationiresistens 95.25%
Bacillus manusensis 95.32%"
AQP 4289,Bacteria,"Bacillus licheniformis 99.87%
Bacillus haynesii 99.46%
Bacillus sonorensis 99.33%",99.87%,100.00%,747,"Bacillus licheniformis 99.87%
Bacillus haynesii 99.46%
Bacillus sonorensis 99.33%
Bacillus aerius 98.80%
Bacillus swezeyi 98.39%
Bacillus nakamurai 97.86%
Bacillus inaquosorum 97.86%
Bacillus subtilis subsp. subtilis 97.72%
Bacillus subtilis 97.72%
Bacillus spizizenii 97.72%
Bacillus mojavensis 97.72%
Bacillus amyloliquefaciens 97.72%
Bacillus halotolerans 97.59%
Bacillus atrophaeus 97.59%
Bacillus vallismortis 97.46%
Bacillus tequilensis 97.46%
Bacillus siamensis KCTC 13613 97.32%
Bacillus velezensis 97.19%
Bacillus amyloliquefaciens DSM 7 = ATCC 23350 96.79%
Bacillus nematocida 97.05%"
AQP 9415,Bacteria,Bacillus marisflavi,99.88%,100.00%,807,"Bacillus marisflavi 99.88%
Bacillus haikouensis 98.02%
Bacillus vietnamensis 97.40%
Bacillus aquimaris 96.78%
Bacillus acidicola 96.17%
Bacillus pakistanensis 95.56%
Bacillus ciccensis 95.42%
Cytobacillus praedii 95.30%
Falsibacillus pallidus 95.29%
Bacillus shackletonii 95.05%
Bacillus songklensis 95.04%
Bacillus thaonhiensis 95.04%"
AQP 9485,Bacteria,"Bacillus megaterium 99.67%
Priestia megaterium 99.67%
Bacillus zanthoxyli 99.34%
Bacillus aryabhattai B8W22 99.34%",99.67%,100.00%,606,"Bacillus megaterium NBRC 15308 = ATCC 14581 99.67%
Priestia megaterium 99.67%
Bacillus zanthoxyli 99.34%
Bacillus aryabhattai B8W22 99.34%
Bacillus qingshengii 98.84%
Bacillus flexus 98.19%
Peribacillus simplex NBRC 15720 = DSM 1321 97.52%
Bacillus paraflexus 97.52%"
AQP 9416,Bacteria,"Bacillus mojavensis 100.00%
Bacillus inaquosorum 99.87%
Bacillus halotolerans 99.87%",100.00%,100.00%,780,"Bacillus mojavensis 100.00%
Bacillus inaquosorum 99.87%
Bacillus halotolerans 99.87%
Bacillus subtilis 99.74%
Bacillus spizizenii 99.74%
Bacillus tequilensis 99.62%
Bacillus nakamurai 99.49%
Bacillus subtilis subsp. subtilis 99.49%
Bacillus atrophaeus 99.49%
Bacillus vallismortis 99.36%
Bacillus amyloliquefaciens 99.36%
Bacillus velezensis 98.98%
Bacillus nematocida 98.97%
Bacillus siamensis KCTC 13613 98.85%
Bacillus amyloliquefaciens DSM 7 = ATCC 23350 98.46%
Bacillus haynesii 98.08%
Bacillus licheniformis 97.95%
Bacillus swezeyi 97.82%
Bacillus sonorensis 97.70%
Bacillus aerius 96.94%"
AQP 9401,Bacteria,"Bacillus proteolyticus 99.13%
Bacillus wiedmannii 99.13%
Bacillus mycoides 99.13%
Bacillus fungorum 99.13%",99.13%,100.00%,806,"Bacillus proteolyticus 99.13%
Bacillus wiedmannii 99.13%
Bacillus mycoides 99.13%
Bacillus fungorum 99.13%
Bacillus cereus 99.01%
Bacillus tropicus 99.01%
Bacillus paramycoides 99.01%
Bacillus nitratireducens 99.01%
Bacillus luti 99.01%
Bacillus albus 99.01%
Bacillus cereus ATCC 14579 99.01%
Bacillus mobilis 98.88%
Bacillus thuringiensis 98.76%
Bacillus toyonensis 98.76%
Bacillus pacificus 98.64%
Bacillus paranthracis 98.64%
Bacillus pseudomycoides 98.64%
Bacillus bingmayongensis 98.63%
Bacillus anthracis 99.11%
Bacillus gaemokensis 98.81%"
AQP 4986,Bacteria,"Bacillus proteolyticus 99.32%
Bacillus wiedmannii 99.32%
Bacillus mycoides 99.32%
Bacillus fungorum 99.32%",99.32%,99.86%,738,"Bacillus proteolyticus 99.32%
Bacillus wiedmannii 99.32%
Bacillus mycoides 99.32%
Bacillus fungorum 99.32%
Bacillus cereus 99.19%
Bacillus tropicus 99.19%
Bacillus paramycoides 99.19%
Bacillus nitratireducens 99.19%
Bacillus luti 99.19%
Bacillus albus 99.19%
Bacillus cereus ATCC 14579 99.19%
Bacillus mobilis 99.05%
Bacillus thuringiensis 98.91%
Bacillus toyonensis 98.91%
Bacillus pacificus 98.78%
Bacillus paranthracis 98.78%
Bacillus pseudomycoides 98.78%
Bacillus bingmayongensis 98.64%
Bacillus anthracis 99.17%
Bacillus gaemokensis 98.70%"
AQP 9379,Bacteria,"Bacillus proteolyticus 99.48%
Bacillus wiedmannii 99.48%
Bacillus mycoides 99.48%
Bacillus fungorum 99.48%",99.48%,100.00%,572,"Bacillus proteolyticus 99.48%
Bacillus wiedmannii 99.48%
Bacillus mycoides 99.48%
Bacillus fungorum 99.48%
Bacillus cereus 99.30%
Bacillus tropicus 99.30%
Bacillus paramycoides 99.30%
Bacillus nitratireducens 99.30%
Bacillus luti 99.30%
Bacillus albus 99.30%
Bacillus cereus ATCC 14579 99.30%
Bacillus mobilis 99.13%
Bacillus thuringiensis 98.95%
Bacillus toyonensis 98.95%
Bacillus pacificus 98.78%
Bacillus paranthracis 98.78%
Bacillus pseudomycoides 98.78%
Bacillus bingmayongensis 98.76%
Bacillus anthracis 99.27%
Bacillus cytotoxicus 95.98%"
AQP 4229,Bacteria,"Bacillus pumilus 100.00%
Bacillus zhangzhouensis 100.00%
Bacillus safensis 100.00%
Bacillus australimaris 99.87%",100.00%,100.00%,782,"Bacillus pumilus 100.00%
Bacillus zhangzhouensis 100.00%
Bacillus safensis FO-36b 100.00%
Bacillus safensis 100.00%
Bacillus australimaris 99.87%
Bacillus aerius 99.49%
Bacillus altitudinis 41KF2b 99.49%
Bacillus stratosphericus 99.49%
Bacillus aerophilus 99.49%
Bacillus xiamenensis 99.36%
Bacillus idriensis 97.31%
Bacillus subtilis subsp. subtilis 96.43%
Bacillus vallismortis 96.43%
Bacillus amyloliquefaciens 96.43%
Bacillus velezensis 96.31%
Bacillus atrophaeus 96.30%
Bacillus tequilensis 96.31%
Bacillus nakamurai 96.17%
Bacillus subtilis 96.18%
Bacillus spizizenii 96.18%"
AQP 4241,Bacteria,"Bacillus pumilus 99.75%
Bacillus zhangzhouensis 99.75%
Bacillus safensis 99.75%
Bacillus australimaris 99.62%",99.75%,100.00%,789,"Bacillus pumilus 99.75%
Bacillus zhangzhouensis 99.75%
Bacillus safensis 99.75%
Bacillus australimaris 99.62%
Bacillus safensis FO-36b 99.62%
Bacillus aerius 99.24%
Bacillus altitudinis 41KF2b 99.24%
Bacillus stratosphericus 99.24%
Bacillus aerophilus 99.24%
Bacillus xiamenensis 99.11%
Bacillus idriensis 97.08%
Bacillus subtilis subsp. subtilis 96.21%
Bacillus vallismortis 96.21%
Bacillus amyloliquefaciens 96.21%
Bacillus velezensis 96.09%
Bacillus atrophaeus 96.08%
Bacillus nakamurai 95.96%
Bacillus subtilis 95.96%
Bacillus spizizenii 95.96%
Bacillus siamensis KCTC 13613 95.95%"
AQP 9513,Bacteria,"Bacillus siamensis 98.85%
Bacillus velezensis 98.85%",98.85%,100.00%,262,"Bacillus siamensis KCTC 13613 98.85%
Bacillus velezensis 98.85%
Bacillus subtilis subsp. subtilis 98.47%
Bacillus amyloliquefaciens 98.47%
Bacillus subtilis 98.09%
Bacillus amyloliquefaciens DSM 7 = ATCC 23350 98.09%
Bacillus inaquosorum 97.71%
Bacillus nematocida 97.71%
Bacillus mojavensis 97.71%
Bacillus atrophaeus 97.71%
Bacillus nakamurai 97.33%
Bacillus halotolerans 97.33%
Bacillus vallismortis 97.33%
Bacillus spizizenii 97.33%
Bacillus tequilensis 97.33%"
AQP 9505,Bacteria,"Bacillus velezensis 99.87%
Bacillus amyloliquefaciens 99.75%
Bacillus siamensis 99.62%",99.87%,100.00%,791,"Bacillus velezensis 99.87%
Bacillus amyloliquefaciens 99.75%
Bacillus siamensis KCTC 13613 99.62%
Bacillus subtilis subsp. subtilis 99.49%
Bacillus atrophaeus 99.49%
Bacillus vallismortis 99.37%
Bacillus nakamurai 99.24%
Bacillus subtilis 99.24%
Bacillus nematocida 99.24%
Bacillus inaquosorum 99.12%
Bacillus spizizenii 98.99%
Bacillus mojavensis 98.99%
Bacillus amyloliquefaciens DSM 7 = ATCC 23350 98.61%
Bacillus tequilensis 98.99%
Bacillus halotolerans 98.86%
Bacillus licheniformis 97.35%
Bacillus haynesii 97.23%
Bacillus swezeyi 97.22%
Bacillus sonorensis 97.10%
Bacillus aerius 96.46%"
AQP 9402,Bacteria,"Bacillus zanthoxyli 100.00%
Bacillus aryabhattai 100.00%
Bacillus megaterium 99.76%
Priestia megaterium 99.76%",100.00%,100.00%,824,"Bacillus zanthoxyli 100.00%
Bacillus aryabhattai B8W22 100.00%
Bacillus megaterium NBRC 15308 = ATCC 14581 99.76%
Priestia megaterium 99.76%
Bacillus qingshengii 99.15%
Bacillus flexus 98.90%
Peribacillus simplex NBRC 15720 = DSM 1321 97.94%
Bacillus paraflexus 96.22%
Bacillus iocasae 95.41%
Falsibacillus pallidus 95.40%
Bacillus alkalitolerans 95.28%
Peribacillus asahii 95.15%
Bacillus oryzisoli 95.16%
Bacillus cohnii 95.04%
Bacillus pocheonensis 95.17%
Bacillus circulans 95.16%
Bacillus endozanthoxylicus 95.15%
Bacillus abyssalis 95.13%"
AQP 9567,Bacteria,"Bacillus zanthoxyli 99.27%
Bacillus megaterium 99.27%
Bacillus aryabhattai 99.27%
Priestia megaterium 99.27%",99.27%,100.00%,691,"Bacillus zanthoxyli 99.27%
Bacillus megaterium NBRC 15308 = ATCC 14581 99.27%
Bacillus aryabhattai B8W22 99.27%
Priestia megaterium 99.27%
Bacillus qingshengii 98.84%
Bacillus flexus 98.11%
Peribacillus simplex NBRC 15720 = DSM 1321 97.38%
Bacillus paraflexus 96.22%"
AQP 9624,Bacteria,"Bacillus zanthoxyli 99.75%
Bacillus aryabhattai 99.75%
Bacillus megaterium 99.63%
Priestia megaterium 99.63%",99.75%,100.00%,806,"Bacillus zanthoxyli 99.75%
Bacillus aryabhattai B8W22 99.75%
Bacillus megaterium NBRC 15308 = ATCC 14581 99.63%
Priestia megaterium 99.63%
Bacillus qingshengii 99.13%
Bacillus flexus 98.75%
Peribacillus simplex NBRC 15720 = DSM 1321 97.77%
Bacillus paraflexus 96.13%
Bacillus iocasae 95.19%
Bacillus alkalitolerans 95.19%
Bacillus endozanthoxylicus 95.06%
Falsibacillus pallidus 95.06%
Bacillus circulans 95.06%
Bacillus abyssalis 95.03%"
AQP 9598,Bacteria,Bizionia echini,100.00%,100.00%,799,"Bizionia echini 100.00%
Bizionia psychrotolerans 98.50%
Bizionia hallyeonensis 98.38%
Bizionia algoritergicola 98.12%
Bizionia myxarmorum 97.75%
Bizionia argentinensis JUB59 96.62%
Bizionia sediminis 96.79%
Xanthomarina spongicola 95.14%
Ichthyenterobacterium magnum 95.01%"
AQP 9468,Bacteria,Bowmanella denitrificans,99.88%,99.76%,833,"Bowmanella denitrificans 99.88%
Bowmanella pacifica 98.32%
Bowmanella dokdonensis 93.10%
Alteromonas macleodii 92.93%
Alteromonas aestuariivivens 92.93%"
AQP 9546,Bacteria,Bowmanella denitrificans,99.76%,100.00%,819,"Bowmanella denitrificans 99.76%
Bowmanella pacifica 98.29%
Alteromonas macleodii 92.94%
Bowmanella dokdonensis 92.95%
Alteromonas aestuariivivens 92.82%"
AQP 9548,Bacteria,"Brachybacterium paraconglomeratum 97.95%
Brachybacterium conglomeratum 97.95%",97.95%,100.00%,293,"Brachybacterium paraconglomeratum 97.95%
Brachybacterium conglomeratum 97.95%
Brachybacterium saurashtrense 96.93%
Brachybacterium aquaticum 94.88%
Brachybacterium ginsengisoli 93.86%"
